Country;Region;Year;Population;Migrant.Stock;Refugee.Stock
Belarus;Eastern Europe;1990;10217;1248977;0
Bulgaria;Eastern Europe;1990;8841;21510;0
Czechia;Eastern Europe;1990;10341;110394;0
Hungary;Eastern Europe;1990;10378;347510;36062
Poland;Eastern Europe;1990;37955;1127771;0
Republic of Moldova;Eastern Europe;1990;4364;544162;0
Romania;Eastern Europe;1990;23489;135825;0
Russian Federation;Eastern Europe;1990;147564;11524948;0
Slovakia;Eastern Europe;1990;5288;41295;0
Ukraine;Eastern Europe;1990;51464;6892920;0
Channel Islands;Northern Europe;1990;141;61660;0
Denmark;Northern Europe;1990;5141;235189;31827
Estonia;Northern Europe;1990;1565;381997;0
Faeroe Islands;Northern Europe;1990;48;4285;0
Finland;Northern Europe;1990;4996;63255;2174
Iceland;Northern Europe;1990;255;9584;43
Ireland;Northern Europe;1990;3569;227961;390
Isle of Man;Northern Europe;1990;68;34769;0
Latvia;Northern Europe;1990;2664;646007;0
Lithuania;Northern Europe;1990;3696;349258;0
Norway;Northern Europe;1990;4247;192587;19581
Sweden;Northern Europe;1990;8567;788767;124723
United Kingdom;Northern Europe;1990;57183;3650286;43395
Albania;Southern Europe;1990;3281;66013;3000
Andorra;Southern Europe;1990;55;38904;0
Bosnia and Herzegovina;Southern Europe;1990;4463;56000;0
Croatia;Southern Europe;1990;4776;475438;0
Gibraltar;Southern Europe;1990;29;8709;0
Greece;Southern Europe;1990;10249;618139;7989
Holy See;Southern Europe;1990;1;768;0
Italy;Southern Europe;1990;57127;1428221;12379
Malta;Southern Europe;1990;364;15077;0
Portugal;Southern Europe;1990;9953;435782;867
San Marino;Southern Europe;1990;24;3310;0
Serbia;Southern Europe;1990;9518;99269;938
Slovenia;Southern Europe;1990;2006;178077;0
Spain;Southern Europe;1990;39306;821605;8303
TFYR Macedonia;Southern Europe;1990;1996;95142;0
Austria;Western Europe;1990;7724;793239;37172
Belgium;Western Europe;1990;10007;904528;25721
France;Western Europe;1990;56961;5897267;186629
Germany;Western Europe;1990;79118;5936181;722250
Liechtenstein;Western Europe;1990;29;10906;0
Luxembourg;Western Europe;1990;382;113795;344
Monaco;Western Europe;1990;29;20359;0
Netherlands;Western Europe;1990;14965;1182263;17154
Switzerland;Western Europe;1990;6675;1392282;40943
Belarus;Eastern Europe;1995;10142;1186282;180
Bulgaria;Eastern Europe;1995;8379;32435;1320
Czechia;Eastern Europe;1995;10358;165592;2655
Hungary;Eastern Europe;1995;10350;322234;11934
Poland;Eastern Europe;1995;38453;964725;600
Republic of Moldova;Eastern Europe;1995;4339;367231;0
Romania;Eastern Europe;1995;22965;135037;194
Russian Federation;Eastern Europe;1995;148289;11928927;0
Slovakia;Eastern Europe;1995;5375;69323;746
Ukraine;Eastern Europe;1995;50906;6172338;5193
Channel Islands;Northern Europe;1995;144;60519;0
Denmark;Northern Europe;1995;5233;303108;50924
Estonia;Northern Europe;1995;1433;315755;1
